,Folder,sub_Folder,File,label,FullPath
13842,P,CP,009-20.jpg,1,P/CP/009-20.jpg
39809,W,CW,7091-110.jpg,1,W/CW/7091-110.jpg
41304,W,CW,7124-74.jpg,1,W/CW/7124-74.jpg
41357,W,CW,7125-226.jpg,1,W/CW/7125-226.jpg
40094,W,CW,7094-27.jpg,1,W/CW/7094-27.jpg
39347,W,CW,7087-105.jpg,1,W/CW/7087-105.jpg
788,D,CD,7020-7.jpg,1,D/CD/7020-7.jpg
13874,P,CP,010-117.jpg,1,P/CP/010-117.jpg
15690,P,CP,088-138.jpg,1,P/CP/088-138.jpg
15492,P,CP,080-134.jpg,1,P/CP/080-134.jpg
39022,W,CW,7084-168.jpg,1,W/CW/7084-168.jpg
40582,W,CW,7112-227.jpg,1,W/CW/7112-227.jpg
15226,P,CP,071-35.jpg,1,P/CP/071-35.jpg
39880,W,CW,7092-125.jpg,1,W/CW/7092-125.jpg
424,D,CD,7011-150.jpg,1,D/CD/7011-150.jpg
392,D,CD,7010-25.jpg,1,D/CD/7010-25.jpg
39861,W,CW,7091-87.jpg,1,W/CW/7091-87.jpg
16,D,CD,7001-237.jpg,1,D/CD/7001-237.jpg
15795,P,CP,092-103.jpg,1,P/CP/092-103.jpg
14267,P,CP,028-97.jpg,1,P/CP/028-97.jpg
41316,W,CW,7125-102.jpg,1,W/CW/7125-102.jpg
39239,W,CW,7086-176.jpg,1,W/CW/7086-176.jpg
15088,P,CP,065-88.jpg,1,P/CP/065-88.jpg
1459,D,CD,7038-133.jpg,1,D/CD/7038-133.jpg
39643,W,CW,7089-212.jpg,1,W/CW/7089-212.jpg
39235,W,CW,7086-172.jpg,1,W/CW/7086-172.jpg
39130,W,CW,7085-150.jpg,1,W/CW/7085-150.jpg
15430,P,CP,077-105.jpg,1,P/CP/077-105.jpg
40953,W,CW,7119-108.jpg,1,W/CW/7119-108.jpg
39004,W,CW,7084-135.jpg,1,W/CW/7084-135.jpg
41672,W,CW,7135-239.jpg,1,W/CW/7135-239.jpg
41586,W,CW,7131-30.jpg,1,W/CW/7131-30.jpg
38045,W,CW,7069-72.jpg,1,W/CW/7069-72.jpg
40114,W,CW,7095-227.jpg,1,W/CW/7095-227.jpg
13950,P,CP,014-143.jpg,1,P/CP/014-143.jpg
38119,W,CW,7070-79.jpg,1,W/CW/7070-79.jpg
14037,P,CP,019-124.jpg,1,P/CP/019-124.jpg
39245,W,CW,7086-184.jpg,1,W/CW/7086-184.jpg
41341,W,CW,7125-171.jpg,1,W/CW/7125-171.jpg
40128,W,CW,7096-134.jpg,1,W/CW/7096-134.jpg
464,D,CD,7011-79.jpg,1,D/CD/7011-79.jpg
163,D,CD,7005-141.jpg,1,D/CD/7005-141.jpg
40879,W,CW,7117-209.jpg,1,W/CW/7117-209.jpg
41147,W,CW,7122-223.jpg,1,W/CW/7122-223.jpg
41611,W,CW,7132-27.jpg,1,W/CW/7132-27.jpg
241,D,CD,7007-142.jpg,1,D/CD/7007-142.jpg
2009,D,CD,7057-195.jpg,1,D/CD/7057-195.jpg
14679,P,CP,046-83.jpg,1,P/CP/046-83.jpg
900,D,CD,7022-185.jpg,1,D/CD/7022-185.jpg
38863,W,CW,7083-113.jpg,1,W/CW/7083-113.jpg
40168,W,CW,7098-10.jpg,1,W/CW/7098-10.jpg
38158,W,CW,7071-27.jpg,1,W/CW/7071-27.jpg
13888,P,CP,011-103.jpg,1,P/CP/011-103.jpg
39968,W,CW,7092-66.jpg,1,W/CW/7092-66.jpg
